Depth(m) COT DT GR NPHI RHOB
4926.9046 3.8391960109496357 61.39283 120.7082 10.96853 2.609386
4927.104600000001 3.274774269153494 60.40073 104.7422 6.245534 2.605386
4927.3046 2.7982274105034093 61.08853 91.23331 3.43443 2.609233
4927.5046 3.053631256968325 62.42572 98.44147 3.764381 2.603179
4927.704600000001 3.4867274082868347 62.35505 110.6892 5.05689 2.58106
4927.9046 3.1292233697610756 61.30692 100.5912 4.616149 2.567613
4928.104600000001 2.654237977623752 61.52451 87.16582 3.297863 2.555356
4928.3046 2.411624078195148 61.6359 80.29656 4.21007 2.539905
4928.5046 2.659174545812242 61.80005 87.27802 8.52018 2.532767
4928.704600000001 3.0798402816668498 61.21444 99.17733 12.38513 2.515687
4928.9046 3.582678178342066 60.03765 113.3747 10.98951 2.50072
4929.104600000001 3.8101253608264285 58.15713 119.7793 6.304899 2.516118
4929.3046 3.4910331750915162 56.81074 110.7107 3.648944 2.543971
4929.5046 3.2670163294200374 57.16743 104.3564 3.31851 2.556194
4929.704600000001 3.0872946901846596 57.86084 99.27288 4.949784 2.549617
4929.9046 2.8376992768232627 58.34064 92.24346 4.826054 2.54715
4930.104600000001 2.573851165954553 58.2193 84.80864 3.09359 2.543696
4930.3046 2.5473527334934194 58.66865 84.07639 2.500288 2.540711
4930.5046 2.3682370297587996 59.77907 79.03561 2.601699 2.547929
4930.704600000001 2.169319439273021 60.49489 73.43207 2.594307 2.557809
4930.9046 2.2475993849365543 61.00838 75.65697 2.981563 2.560806
4931.104600000001 2.4008197793330486 61.3254 79.99506 3.566366 2.566185
4931.3046 2.490046485238321 61.00209 82.51043 4.362266 2.5671
4931.5046 2.7348555250853437 61.09256 89.39531 5.807988 2.569388
4931.704600000001 3.030235875981037 60.52961 97.73057 6.229348 2.56007
4931.9046 2.9172101480742563 59.37783 94.54221 5.75665 2.548277
4932.104600000001 2.6833093572847337 59.2733 87.93242 4.841373 2.53264
4932.3046 2.670925797500461 59.15118 87.58127 3.436915 2.521019
4932.5046 2.5234267771870096 59.46123 83.40989 2.717807 2.509628
4932.704600000001 2.4053868225251156 59.78256 80.07967 2.854699 2.500396
4932.9046 2.513160126824535 60.21166 83.14412 3.109938 2.496796
4933.104600000001 2.5188588246903585 59.95752 83.32593 3.012453 2.478524
4933.3046 2.678989028689079 59.86354 87.85254 3.251845 2.472516
4933.5046 2.924023630550045 59.59822 94.766 3.094673 2.478319
4933.704600000001 2.8950434848683386 59.38184 93.92288 3.003698 2.484114
4933.9046 2.9213005762195046 59.61861 94.64075 2.803839 2.462225
4934.104600000001 2.919872074548167 60.28122 94.58553 2.427077 2.46213
4934.3046 2.84534656363992 61.27109 92.46856 2.73395 2.485086
4934.5046 2.9687809468600337 62.45358 95.964 4.018203 2.504838
4934.704600000001 3.4826144774178323 62.96431 110.5037 5.424264 2.507293
4934.9046 3.390471339431282 63.61924 107.9243 5.729406 2.536616
4935.104600000001 2.9130620250203427 63.93258 94.46105 5.371001 2.544183
4935.3046 2.5436196346674698 63.48866 84.04404 4.625445 2.542908
4935.5046 2.4172179777558838 62.95205 80.4904 4.664049 2.57231
4935.704600000001 2.3757040592819574 62.98306 79.31805 5.177074 2.616785
4935.9046 2.303194498216499 63.11373 77.26446 5.184584 2.628287
4936.104600000001 2.2655090434417264 63.01726 76.19991 4.972582 2.64493
4936.3046 2.1703427223747687 62.92535 73.51154 4.968472 2.631771
4936.5046 2.13420236192487 62.6764 72.49451 4.65054 2.612546
4936.704600000001 2.2493679026691216 62.39335 75.7518 4.404319 2.617292
4936.9046 2.289222148613337 62.35803 76.87667 5.12607 2.619159
4937.104600000001 2.4520944446686004 63.49419 81.4674 5.647408 2.604987
4937.3046 2.788699462717566 64.18884 90.96776 7.439948 2.582676
4937.5046 3.2795238412105268 64.13466 104.8364 12.4698 2.57325
4937.704600000001 3.5722250325273093 62.80485 113.101 13.75638 2.563815
4937.9046 3.416029872500916 60.1927 108.6784 8.703284 2.561368
4938.104600000001 2.8870161176904223 58.40239 93.70247 4.801208 2.556804
4938.3046 2.58219538413989 58.35625 85.07178 2.995999 2.5552
4938.5046 2.4142902242949327 59.47772 80.31955 2.278924 2.540034
4938.704600000001 2.2381756713087166 59.23418 75.34753 1.992475 2.529978
4938.9046 2.2611450670155726 59.08371 76.0039 1.862859 2.529761
4939.104600000001 2.3488594987683284 59.05136 78.48991 1.905163 2.543143
4939.3046 2.3450094721551573 58.94028 78.38924 2.098247 2.550443
4939.5046 2.3205026907179467 59.0109 77.70353 2.151579 2.568531
4939.704600000001 2.3937603718715987 59.00391 79.7789 1.960095 2.585474
4939.9046 2.661532287800544 59.12947 87.34441 1.898497 2.583232
4940.104600000001 2.7294684061998473 59.89601 89.25626 2.275967 2.564566
4940.3046 2.679638679016847 61.12491 87.83711 2.85498 2.558453
4940.5046 2.835573322290966 61.80013 92.25145 3.744417 2.55477
4940.704600000001 3.4112424260543834 61.08271 108.5462 6.456812 2.563362
4940.9046 3.521612582159596 61.12753 111.6777 7.991358 2.577606
4941.104600000001 2.9579191984229745 60.6567 95.75253 5.804672 2.539947
4941.3046 2.3845845431391823 60.25993 79.54037 3.474233 2.554457
4941.5046 2.493341563424051 60.85061 82.58614 2.57593 2.585776
4941.704600000001 2.5841979970270827 60.46308 85.13849 2.338529 2.613318
4941.9046 2.6223995575102252 60.06668 86.21407 2.318189 2.623068
4942.104600000001 2.8997890605743297 60.20748 94.04952 2.290846 2.607495
